Item Number,Category Name,Item Description,Vendor,Vendor Name,Bottle Volume__ml,Pack,Inner Pack,Age,Proof,List Date,UPC,SCC,State Bottle Cost,State Case Cost,State Bottle Retail,Report Date
101066,TEMPORARY & SPECIALTY PACKAGES,MAKERS MARK 46 W/BOTTLE STOPPER,065,JIM BEAM BRANDS,750,6,1,0,94,11/01/2020,85246501481,,21.00,126.00,31.50,03/01/2024
101073,TEMPORARY & SPECIALTY PACKAGES,GLENMORANGIE ORIGINAL GIRAFFE TIN VAP,420,MOET HENNESSY USA,750,6,1,10,86,05/01/2021,81753833008,,19.99,119.94,29.99,03/01/2024
101084,TENNESSEE WHISKIES,JACK DANIELS HOLIDAY CALENDAR PACK,085,BROWN FORMAN CORP.,50,3,20,0,77,08/01/2020,82184205020,,30.00,90.00,45.00,03/01/2024
101086,TEMPORARY & SPECIALTY PACKAGES,ELIJAH CRAIG W/OLD FASHIONED COCKTAIL SYRUP,259,HEAVEN HILL BRANDS,750,6,1,0,94,09/01/2021,96749002788,,16.00,96.00,24.00,03/01/2024
101088,TEMPORARY & SPECIALTY PACKAGES,DEWARS 200ML VARIETY PACK,035,BACARDI USA INC,200,6,3,12,80,11/01/2020,80480008444,,12.50,75.00,18.75,03/01/2024
101100,TEMPORARY & SPECIALTY PACKAGES,AVION SILVER W/2 SKULL GLASSES,370,PERNOD RICARD USA,750,6,1,0,80,11/01/2021,80432115534,,22.48,134.88,33.72,03/01/2024
101103,TEMPORARY & SPECIALTY PACKAGES,KETEL ONE W/2 BLOODY MARY GLASSES,260,DIAGEO AMERICAS,750,6,1,0,80,11/01/2020,85156375134,,11.33,67.98,17.00,03/01/2024
101104,TEMPORARY & SPECIALTY PACKAGES,BULLEIT BOURBON W/2 CERAMIC MUGS,260,DIAGEO AMERICAS,750,6,1,0,90,10/01/2021,82000793885,,16.50,99.00,24.75,03/01/2024
101106,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG BLACK CHERRY VAP,492,WESTERN SPIRITS BEVERAGE,750,6,1,0,80,10/01/2020,812459014572,,10.00,60.00,15.00,03/01/2024
101121,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG BLACKBERRY VAP,492,WESTERN SPIRITS BEVERAGE,750,6,3,0,80,10/01/2020,812459014428,,10.00,60.00,15.00,03/01/2024
101123,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG PEACH VAP,492,WESTERN SPIRITS BEVERAGE,750,6,3,0,80,10/01/2020,812459014435,,10.00,60.00,15.00,03/01/2024
101126,TEMPORARY & SPECIALTY PACKAGES,JIM BEAM FLAVORS 50ML VARIETY PACK,065,JIM BEAM BRANDS,50,12,10,0,65,07/01/2021,80686021742,,5.00,60.00,7.50,03/01/2024
101139,TEMPORARY & SPECIALTY PACKAGES,MIDNIGHT MOON PEPPERMINT W/SHOT GLASS,384,PIEDMONT DISTILLERS INC,750,6,1,0,80,10/01/2021,850015676031,,11.50,69.00,17.25,03/01/2024
101140,TEMPORARY & SPECIALTY PACKAGES,ARDBEG BLAAACK GENERAL RELEASE,420,MOET HENNESSY USA,750,6,1,0,92,06/01/2020,81753832834,,59.99,359.94,89.99,03/01/2024
101141,TEMPORARY & SPECIALTY PACKAGES,JAGERMEISTER SUSTAINABLE MUG VAP,192,"MAST-JAGERMEISTER US, INC",750,6,1,0,70,09/01/2020,83089000161,,13.00,78.00,19.50,03/01/2024
101142,TEMPORARY & SPECIALTY PACKAGES,LARCENY W/GLASS & FLASK,259,HEAVEN HILL BRANDS,750,6,1,0,92,09/01/2021,96749002856,,14.00,84.00,21.00,03/01/2024
101151,WHISKEY LIQUEUR,FIREBALL CINNAMON WHISKEY ADULT TRICK OR TREAT BAG MINI,421,SAZERAC COMPANY  INC,50,1,120,0,66,09/01/2023,88004040727,,51.60,51.60,77.40,03/01/2024
101155,TEMPORARY & SPECIALTY PACKAGES,EZRA BROOKS W/GLASS & ICE BALL MOLD,434,LUXCO INC,750,4,1,0,90,10/01/2020,88352135632,,7.50,30.00,11.25,03/01/2024
101162,TEMPORARY & SPECIALTY PACKAGES,AVIATION AMERICAN GIN W/COLLINS GLASSES,260,DIAGEO AMERICAS,750,6,1,0,84,12/01/2021,857050005314,,14.17,85.02,21.26,03/01/2024
101163,TEMPORARY & SPECIALTY PACKAGES,RUMCHATA W/2-100ML PEPPERMINT BARK,205,E & J GALLO WINERY,950,6,3,0,28,10/01/2023,890355001568,,14.00,84.00,21.00,03/01/2024
101168,TEMPORARY & SPECIALTY PACKAGES,CARAVELLA LIMONCELLO W/PITCHER,421,SAZERAC COMPANY  INC,750,6,1,0,56,09/01/2021,88004042158,,11.25,67.50,16.88,03/01/2024
101172,TEMPORARY & SPECIALTY PACKAGES,BIRD DOG KENTUCKY STRAIGHT W/2 MINIS,492,WESTERN SPIRITS BEVERAGE,850,6,1,0,84,12/01/2022,812459014701,,11.50,69.00,17.25,03/01/2024
101180,AMERICAN SCHNAPPS,99 FRUITS MINI,421,SAZERAC COMPANY  INC,50,1,120,0,99,07/01/2020,88004040529,,51.60,51.60,77.40,03/01/2024
101174,TEMPORARY & SPECIALTY PACKAGES,BULLEIT BOURBON OUTDOOR KIT W/YETI,260,DIAGEO AMERICAS,1125,6,2,0,90,11/01/2020,82000794486,,32.49,194.94,48.74,03/01/2024
101181,TEMPORARY & SPECIALTY PACKAGES,CROWN ROYAL MULTIBRAND ADVENT CALENDAR,260,DIAGEO AMERICAS,50,6,12,0,80,10/01/2020,82000794479,,22.49,134.94,33.74,03/01/2024
101182,TEMPORARY & SPECIALTY PACKAGES,JOHNNIE WALKER 12 DAYS OF DISCOVERY,260,DIAGEO AMERICAS,50,6,12,0,80,11/01/2020,88076185210,,49.99,299.94,74.99,03/01/2024
101183,TEMPORARY & SPECIALTY PACKAGES,DISARONNO VELVET CREAM LIQUEUR W/GLASS,130,DISARONNO INTERNATIONAL,750,6,1,0,34,12/01/2023,50037097016,,16.53,99.18,24.80,03/01/2024
101187,TEMPORARY & SPECIALTY PACKAGES,HENNESSY VS NBA 2020 GIFTBOX,420,MOET HENNESSY USA,750,12,1,0,80,11/01/2020,81753833657,,20.99,251.88,31.49,03/01/2024
101188,TEMPORARY & SPECIALTY PACKAGES,HENNESSY VSOP NBA 2020 GIFTBOX,420,MOET HENNESSY USA,750,12,1,0,80,11/01/2020,81753833664,,30.99,371.88,46.49,03/01/2024
101192,TEMPORARY & SPECIALTY PACKAGES,JAGERMEISTER COLD BREW W/COFFEE MUG,192,"MAST-JAGERMEISTER US, INC",750,6,1,0,66,10/01/2021,83089000208,,13.00,78.00,19.50,03/01/2024
101200,TEMPORARY & SPECIALTY PACKAGES,FIREBALL CINNAMON WHISKEY COUNTDOWN CALENDAR MINIS,421,SAZERAC COMPANY  INC,50,6,20,0,66,09/01/2021,88004040772,,8.60,51.60,12.90,03/01/2024
101201,TEMPORARY & SPECIALTY PACKAGES,JAJA BLANCO W/MEME GAME,395,PROXIMO,750,6,1,0,80,09/01/2020,88320007091,,21.00,126.00,31.50,03/01/2024
101209,TEMPORARY & SPECIALTY PACKAGES,VAN GOGH DESSERT SAMPLER MINI,305,MHW LTD,50,30,4,0,80,08/01/2023,81128001032,10083664874139,3.00,90.00,4.50,03/01/2024
101214,TEMPORARY & SPECIALTY PACKAGES,BACARDI OCHO MIXING GLASS & SPOON PACK,035,BACARDI USA INC,750,6,1,8,80,10/01/2021,80480008475,,15.00,90.00,22.50,03/01/2024
101216,TEMPORARY & SPECIALTY PACKAGES,CAPTAIN MORGAN OSR W/50ML CM SLICED APPLE,260,DIAGEO AMERICAS,1750,6,1,0,70,04/01/2022,82000795674,,18.99,113.94,28.49,03/01/2024
101217,TEMPORARY & SPECIALTY PACKAGES,CAPTAIN MORGAN OSR PET W/50ML CM SLICED APPLE,260,DIAGEO AMERICAS,1750,6,1,0,70,04/01/2022,82000795681,,18.99,113.94,28.49,03/01/2024
101232,TEMPORARY & SPECIALTY PACKAGES,ARDBEG AN OA SMOKER VAP,420,MOET HENNESSY USA,750,6,1,0,93,10/01/2021,81753832964,,29.99,179.94,44.99,03/01/2024
101233,TEMPORARY & SPECIALTY PACKAGES,PATRON SILVER TEQUILA LIMITED EDITION,035,BACARDI USA INC,1000,6,1,0,80,04/01/2024,721733005208,10083664874139,34.99,209.94,52.49,03/01/2024
101239,TEMPORARY & SPECIALTY PACKAGES,WHISTLEPIG RYE PIGLETS MINI,214,GOAMERICAGO BEVERAGES LLC / WHISTLEPIG,50,12,3,0,100,09/01/2020,850001901703,,10.00,120.00,15.00,03/01/2024
101247,TEMPORARY & SPECIALTY PACKAGES,SELECT APERITIVO MONTENEGRO W/TIN,205,E & J GALLO WINERY,750,6,1,0,35,10/01/2022,898193001894,10083664874139,14.47,86.82,21.71,03/01/2024
101248,TEMPORARY & SPECIALTY PACKAGES,TEELING TRINITY PACK,035,BACARDI USA INC,50,6,3,0,92,11/01/2021,813219020277,,9.99,59.94,14.99,03/01/2024
101252,TEMPORARY & SPECIALTY PACKAGES,MAKERS MARK W/SHAKER,065,JIM BEAM BRANDS,1750,3,1,0,90,07/01/2021,85246501641,,32.50,97.50,48.75,03/01/2024
101257,TEMPORARY & SPECIALTY PACKAGES,1800 SILVER/REPOSADO/CRISTALINO VARIETY PACK,395,PROXIMO,375,4,3,0,80,09/01/2022,818844021293,,25.00,100.00,37.50,03/01/2024
101260,TEMPORARY & SPECIALTY PACKAGES,DEATHS DOOR GIN & FEVER TREE VAP,305,MHW LTD,750,6,1,0,94,10/01/2021,810023260059,,15.00,90.00,22.50,03/01/2024
101266,TEMPORARY & SPECIALTY PACKAGES,JOHNNIE WALKER BLACK W/JW MINIS & VOICE RECORDER,260,DIAGEO AMERICAS,950,6,1,0,90,10/01/2021,88076185555,,46.14,276.84,69.21,03/01/2024
101269,TEMPORARY & SPECIALTY PACKAGES,TEQUILA ROSE MINIS & CHOCOLATE GIFT BOX,300,MCCORMICK DISTILLING CO.,50,6,10,0,50,01/01/2022,85592163883,,7.46,44.76,11.19,03/01/2024
101271,TEMPORARY & SPECIALTY PACKAGES,JAMESON W/COLD BREW & BLACK BARREL MINIS,370,PERNOD RICARD USA,850,6,1,0,80,10/01/2021,80432117019,,13.99,83.94,20.99,03/01/2024
101276,TEMPORARY & SPECIALTY PACKAGES,SOBIESKI 1750 W/SPEAKER,421,SAZERAC COMPANY  INC,1750,6,1,0,80,08/01/2023,89016008491,,10.99,65.94,16.49,03/01/2024
101284,TEMPORARY & SPECIALTY PACKAGES,GLEN MORAY TASTING COLLECTION MINIS,421,SAZERAC COMPANY  INC,50,12,4,0,80,08/01/2023,89016008491,,9.64,115.68,14.46,03/01/2024
101288,TEMPORARY & SPECIALTY PACKAGES,MAKERS MARK W/SCARF,065,JIM BEAM BRANDS,750,6,1,0,90,11/01/2021,85246501764,,18.00,108.00,27.00,03/01/2024
101292,TEMPORARY & SPECIALTY PACKAGES,LAPHROAIG 10YR W/2 GLASSES,065,JIM BEAM BRANDS,750,6,1,0,86,11/01/2022,80686813378,10083664874139,29.50,177.00,44.25,03/01/2024
101296,STRAIGHT RYE WHISKIES,WHISTLEPIG 6YR PIGGYBACK RYE,214,GOAMERICAGO BEVERAGES LLC / WHISTLEPIG,50,1,120,6,97,07/01/2021,850001901802,,329.60,329.60,494.40,03/01/2024
101293,TEMPORARY & SPECIALTY PACKAGES,JIM BEAM WHITE W/HOLIDAY TUMBLER,065,JIM BEAM BRANDS,750,6,1,4,80,10/01/2021,80686027423,,11.00,66.00,16.50,03/01/2024
101299,TENNESSEE WHISKIES,JACK DANIELS W/BBQ SAUCE,085,BROWN FORMAN CORP.,1750,3,1,0,80,07/01/2021,82184205310,,30.68,92.04,46.02,03/01/2024
101306,TENNESSEE WHISKIES,GENTLEMAN JACK W/SOUR MIX,085,BROWN FORMAN CORP.,750,6,1,0,80,01/01/2022,82184205495,,20.01,120.06,30.02,03/01/2024
101344,COCKTAILS/RTD,DRAKES ORGANIC SPIKED ICE VARIETY BOX,368,PARK STREET IMPORTS,100,12,9,0,24,04/01/2022,850002554564,,6.57,78.84,9.86,03/01/2024
101339,TEMPORARY & SPECIALTY PACKAGES,"CIROC VODKA W/50ML PEACH, PINEAPPLE & WATERMELON",260,DIAGEO AMERICAS,900,6,1,0,80,05/01/2021,88076185784,,16.49,98.94,24.74,03/01/2024
101346,TEMPORARY & SPECIALTY PACKAGES,GREY GOOSE GLASS PACK,035,BACARDI USA INC,1750,3,1,0,80,11/01/2022,80480987206,,26.50,79.50,39.75,03/01/2024
101347,TEMPORARY & SPECIALTY PACKAGES,GREY GOOSE GLASS PACK,035,BACARDI USA INC,750,6,1,0,80,11/01/2022,80480987213,,15.00,90.00,22.50,03/01/2024
101348,TEMPORARY & SPECIALTY PACKAGES,BOMBAY SAPPHIRE GIN & TONIC PACK,035,BACARDI USA INC,750,6,1,0,94,06/01/2021,80480987084,,13.50,81.00,20.25,03/01/2024
101351,TEMPORARY & SPECIALTY PACKAGES,ABERFELDY DISCOVERY PACK,035,BACARDI USA INC,600,6,1,12,80,08/01/2022,80480984199,,104.99,629.94,157.49,03/01/2024
101355,BLENDED WHISKIES,SKREWBALL PEANUT BUTTER WHISKEY MINI KREW PACKAGE,370,PERNOD RICARD USA,50,15,8,0,70,07/01/2021,860265002481,,11.20,168.00,16.80,03/01/2024
101352,TEMPORARY & SPECIALTY PACKAGES,1800 SILVER W/TACO HOLDER,395,PROXIMO,750,6,1,0,80,10/01/2023,818844021644,,16.50,99.00,24.75,03/01/2024
101357,TEMPORARY & SPECIALTY PACKAGES,ABSOLUT BLUE W/CLG MINIS,370,PERNOD RICARD USA,900,6,1,0,80,10/01/2021,80432117286,,9.99,59.94,14.99,03/01/2024
101368,TEMPORARY & SPECIALTY PACKAGES,MALIBU W/DOLE PINEAPPLE JUICE,370,PERNOD RICARD USA,1750,3,1,15,42,05/01/2024,89540449326,10083664874139,19.49,58.47,29.24,03/01/2024
101384,TEMPORARY & SPECIALTY PACKAGES,CORRALEJO REPOSADO W/2 PINA GLASSES,255,INFINIUM SPIRITS,750,6,1,0,80,09/01/2022,720815932630,,16.99,101.94,25.49,03/01/2024
101385,TEMPORARY & SPECIALTY PACKAGES,TEMPLETON RYE 4YR W/2 ROCKS GLASSES,255,INFINIUM SPIRITS,750,6,1,0,80,09/01/2023,720815922037,,15.40,92.40,23.10,03/01/2024
101386,TEMPORARY & SPECIALTY PACKAGES,ZAYA GRAND RESERVA 16YR RUM W/2 TIKI GLASSES,255,INFINIUM SPIRITS,750,6,1,0,80,09/01/2021,720815950337,,13.98,83.88,20.97,03/01/2024
101421,TEMPORARY & SPECIALTY PACKAGES,RUSSELLS RESERVE W/50ML CAMPARI,619,CAMPARI AMERICA,800,6,2,10,90,08/01/2021,721059957502,,20.00,120.00,30.00,03/01/2024
101399,TEMPORARY & SPECIALTY PACKAGES,FRANKLY ORGANIC VODKA 50ML VARIETY PACK MINI,657,BE IN GOOD SPIRITS LLC / FRANKLY ORGANIC VODKA,50,12,5,0,80,10/01/2021,854439008416,,5.00,60.00,7.50,03/01/2024
101422,TEMPORARY & SPECIALTY PACKAGES,MONTELOBOS ESPADIN W/50ML CAMPARI,619,CAMPARI AMERICA,800,6,2,0,86,08/01/2021,83664872978,,20.00,120.00,30.00,03/01/2024
101423,TEMPORARY & SPECIALTY PACKAGES,KETEL ONE W/2 MARTINI GLASSES,260,DIAGEO AMERICAS,750,6,1,0,70,09/01/2023,85156375141,,11.33,67.98,17.00,03/01/2024
101428,TEMPORARY & SPECIALTY PACKAGES,SMIRNOFF W/50ML PINK LEMONADE,260,DIAGEO AMERICAS,1800,6,2,0,80,07/01/2021,82000797890,,14.75,88.50,22.13,03/01/2024
101429,TEMPORARY & SPECIALTY PACKAGES,BELVEDERE PURE MIXOLOGY VAP,420,MOET HENNESSY USA,750,6,1,0,80,10/01/2021,81753834883,,14.99,89.94,22.49,03/01/2024
101431,TEMPORARY & SPECIALTY PACKAGES,FRANGELICO LIQUEUR W/4 SHOT GLASSES,619,CAMPARI AMERICA,750,6,1,0,40,09/01/2021,721059003223,,15.50,93.00,23.25,03/01/2024
101432,TEMPORARY & SPECIALTY PACKAGES,GRAND MARNIER W/2 GLASS FLUTES,619,CAMPARI AMERICA,750,6,1,0,80,09/01/2021,721059003216,,22.50,135.00,33.75,03/01/2024
101446,TEMPORARY & SPECIALTY PACKAGES,1800 REPOSADO W/SERVING BOWLS,395,PROXIMO,750,6,1,0,80,09/01/2022,818844022627,,17.00,102.00,25.50,03/01/2024
101449,TEMPORARY & SPECIALTY PACKAGES,JAGERMEISTER SAVE OUR STAGES VAP,192,"MAST-JAGERMEISTER US, INC",750,6,1,0,70,10/01/2021,83089000246,,13.00,78.00,19.50,03/01/2024
